Time,P_charge,P_discharge,Battery_SoC,P_grid,P_waste,Cost_grid,Energy_waste
24,10.836190975087305,13.466312279415888,734.2503119959035,966.0089788945919,8.445363689925713,96.60089788945919,8.445363689925713
25,76.69502484445673,434.1672917873665,372.9432938107709,889.5561586857651,993.4382909947154,88.95561586857652,993.4382909947154
26,74.29099242068804,76.49584192897692,367.02389468144764,1893.886381165762,116.68218832053128,189.3886381165762,116.68218832053128
27,36.520941844670666,13.303209801175853,388.4155796327089,921.6082168802667,5.178408689073748,92.16082168802667,5.178408689073748
28,943.2672034351367,254.80862756882232,1029.7107953272666,1354.0373680404796,668.4513703143098,135.40373680404795,668.4513703143098
29,103.16153677406747,79.24992334314356,1048.4643319194872,1624.6739373843586,149.594189294214,162.46739373843587,149.594189294214
30,25.75999902117613,103.4674312426962,969.4688997469084,972.9485171600076,14.940817317662425,97.29485171600076,14.940817317662425
31,44.35963165757141,463.9893883993386,547.6211614222626,731.5209855671163,1606.6533722407057,73.15209855671164,1606.6533722407057
32,141.60463702861034,78.56286014296393,603.5827064564785,2233.7853766964554,118.49242495151412,223.37853766964554,118.49242495151412
33,8.336587820123205,7.850973531261616,603.6514913543339,949.5506690737241,37.72255990264675,94.95506690737241,37.72255990264675
34,1077.504659775788,628.1487348879765,999.132183253356,711.2319473238605,591.0319160499921,71.12319473238605,591.0319160499921
35,131.81523300256237,141.8554857661104,982.5011688396798,1483.7522418413425,125.46905659754566,148.37522418413425,125.46905659754566
36,28.584094840422463,11.950167359999568,997.7058915780816,1135.352828990253,16.715604339743056,113.53528289902532,16.715604339743056
37,1254.8991360704442,269.0848863060496,1920.775184538954,1619.7519185815352,363.499772081542,161.97519185815352,363.499772081542
38,101.55846552981944,313.88946795045683,1703.3662588418256,2356.0644569831948,160.57785642581706,235.60644569831948,160.57785642581706
39,12.832736832833628,23.80497944686772,1691.7523793861499,1286.2654193999479,35.125032246447475,128.62654193999478,35.125032246447475
40,674.7523605446537,161.86500695754262,2170.9021149460286,1416.6878949984039,887.9255267592054,141.6687894998404,887.9255267592054
41,142.90084310913787,123.73532684781276,2182.922589051897,2057.18336737045,127.08311378674452,205.718336737045,127.08311378674452
42,3.3653396422693067,12.173302378353355,2173.9463593336995,888.3286972181029,30.387928917928527,88.8328697218103,30.387928917928527
43,418.21264606942634,655.4319895085556,1915.816383591099,1561.369250720812,631.2889843623251,156.13692507208123,631.2889843623251
44,30.94541222632617,116.49030098223625,1828.7242242238726,2206.949675446887,218.39279540023523,220.6949675446887,218.39279540023523
45,21.045065017177002,10.638704366774618,1838.0783316234163,845.3597207061866,35.92763954005692,84.53597207061867,35.92763954005692
46,754.822674687276,92.36724845944741,2462.7926241168807,1595.5663877301213,750.7278055784482,159.55663877301214,750.7278055784482
47,64.38194686325623,360.27157956625365,2163.6838940707203,1509.0484591164136,213.759049934674,150.90484591164136,213.759049934674
48,22.280358214832674,153.66649460432518,2031.1837397704862,756.8030326985631,28.67301344916597,75.68030326985631,28.67301344916597
49,669.7008470321421,94.68426337432106,2500.0,1928.457459957545,784.9806447409837,192.84574599575453,784.9806447409837
50,78.940957662824,96.4381324052506,2478.555777374432,2107.3595075455255,191.01487150925828,210.73595075455256,191.01487150925828
51,39.968686382659904,917.0021420050261,1599.523887432933,138.8406780429483,11.265962519340398,13.88406780429483,11.265962519340398
52,12.239305830181706,730.9509195043637,880.2003084672418,1000.2653330243672,1703.2424410180734,100.02653330243673,1703.2424410180734
53,197.03761336220873,86.77986663692741,980.6061745244126,1983.9437995273522,98.21910336812181,198.39437995273522,98.21910336812181
54,27.522918239468485,19.258349154995585,987.4945976969121,841.6398464656471,24.414923757535934,84.16398464656471,24.414923757535934
55,1210.1186351705378,43.47016652057664,2093.6371345883463,1358.640242401992,293.181627191173,135.8640242401992,293.181627191173
56,108.90699829435238,906.7151371696298,1290.3836457983514,1127.1878034458568,202.2278185211713,112.7187803445857,202.2278185211713
57,25.70731145685367,8.528393786124752,1306.2771978962376,1031.3051261684454,31.99671391918454,103.13051261684456,31.99671391918454
58,1466.7886707084763,530.0085092037948,2169.717925865495,1740.4745098537926,210.48156335725434,174.04745098537927,210.48156335725434
59,107.43176715441417,48.12733011589057,2223.6507745462977,2259.980816644737,176.96764818905274,225.99808166447372,176.96764818905274
60,15.418821498115204,15.580876263967184,2222.71777870554,904.3364699302881,32.763969371567214,90.43364699302882,32.763969371567214
61,108.321744528767,689.3859752863092,1636.2374607215593,1189.9062639550757,1543.1834945360129,118.99062639550758,1543.1834945360129
62,64.02662981930796,216.3388964682449,1480.723862581657,2262.4399237007474,221.49789447616553,226.24399237007475,221.49789447616553
63,15.80860423714742,14.324946921793526,1481.4170896851535,898.0238663386018,30.74277865212543,89.80238663386018,30.74277865212543
64,547.352283107167,605.4218820494384,1395.9798765875237,1134.5705073178224,659.8193030864085,113.45705073178225,659.8193030864085
65,71.2881496274153,94.85454557627259,1368.8490731572956,2102.591607691024,223.58884283161302,210.2591607691024,223.58884283161302
66,7.895739731059248,129.376271146494,1246.973754755308,804.0137804602792,43.66237799464294,80.40137804602793,43.66237799464294
67,1005.9115482499067,184.08408219687726,2018.505643395842,1131.4139247324817,704.6337830714192,113.14139247324817,704.6337830714192
