Time,P_grid,P_charge,P_discharge,Battery_SoC,Cost
41,1745.462049252386,0.0,0.0,0.0,174.5462049252386
42,616.6513926035161,0.0,0.0,0.0,61.665139260351616
43,1702.9263684147036,0.0,0.0,0.0,170.29263684147037
44,2254.672313426145,0.0,0.0,0.0,225.46723134261453
45,491.3588356782496,0.0,0.0,0.0,49.13588356782496
46,2115.1567952673986,0.0,0.0,0.0,211.51567952673986
47,506.0416979613167,0.0,0.0,0.0,50.60416979613167
48,132.4263867875661,0.0,0.0,0.0,13.24263867875661
49,1774.1142733886843,0.0,0.0,0.0,177.41142733886844
50,991.1485370804493,0.0,0.0,0.0,99.11485370804493
51,1447.0905837755536,0.0,0.0,0.0,144.70905837755535
52,1669.4592993423544,0.0,0.0,0.0,166.94592993423544
53,1235.3806611413152,0.0,0.0,0.0,123.53806611413152
54,1292.83761013754,0.0,0.0,0.0,129.283761013754
55,783.0472407855633,0.0,0.0,0.0,78.30472407855633
56,1804.2011691846164,310.9726491714176,0.0,285.55063529978395,180.42011691846164
57,1373.12259759684,364.5261446751285,211.44483048490656,409.757609456931,137.312259759684
58,1679.6666032354585,24.86833838959376,334.82534077544426,98.06923104299732,167.96666032354585
59,944.4585140495415,0.0,98.06923104299732,0.0,94.44585140495415
60,1983.9043248718467,0.0,0.0,0.0,198.39043248718468
61,651.4022496547743,0.0,0.0,0.0,65.14022496547743
62,1426.735150717198,128.06372890306022,0.0,117.89276489626498,142.6735150717198
63,910.871720849215,419.26961311167395,61.15507635918017,441.19832387054504,91.0871720849215
64,1782.1842752196553,27.857627352167935,441.19832387054504,25.662757922174393,178.21842752196554
65,2045.4065046586675,0.0,25.662757922174393,0.0,204.54065046586675
66,1328.5502319133525,0.0,0.0,0.0,132.85502319133525
67,846.2945613021711,0.0,0.0,0.0,84.62945613021712
68,2204.613752967027,248.26659366406557,0.0,229.9240968578395,220.4613752967027
69,751.3484119144608,327.1714013959349,149.98043260938118,380.9304850847989,75.13484119144609
70,1458.457873375736,21.578901172237444,282.60242705119623,118.08129908642458,145.8457873375736
71,893.083033955937,0.0,118.08129908642458,0.0,89.30830339559371
72,1710.1054463391008,0.0,0.0,0.0,171.0105446339101
73,1261.2510030624103,0.0,0.0,0.0,126.12510030624104
74,2248.4353703706647,234.52080889152052,0.0,218.09042206824165,224.84353703706648
75,1359.2540018873042,396.95589296480614,151.13692292054162,431.6378128055038,135.92540018873044
76,955.6456383964426,14.315459527782842,384.1572546615572,60.637148491282346,95.56456383964426
77,1733.3782131114267,0.0,60.637148491282346,0.0,173.33782131114268
78,1725.978545477871,0.0,0.0,0.0,172.5978545477871
79,2083.38427557437,0.0,0.0,0.0,208.338427557437
80,911.6545134539152,182.44139311932128,0.0,168.29520086192161,91.16545134539153
81,2124.720758942439,242.2641114852151,168.29520086192161,220.8588028004843,212.4720758942439
82,1826.3421099974712,33.520048456713674,220.8588028004843,30.97725505075737,182.63421099974713
83,1644.6940479870173,0.0,30.97725505075737,0.0,164.46940479870173
84,1451.2331962380185,0.0,0.0,0.0,145.12331962380185
85,1653.0663376416605,0.0,0.0,0.0,165.30663376416607
86,2143.059171244002,207.1826677220883,0.0,190.87542099549697,214.3059171244002
87,1472.3697901090122,262.02251659920717,190.87542099549697,240.47594256241513,147.23697901090122
88,1613.0130859947965,23.210405816585883,230.05414735179158,31.895244419738518,161.30130859947965
89,1689.363076644447,0.0,31.895244419738518,0.0,168.9363076644447
90,797.7919014350432,0.0,0.0,0.0,79.77919014350432
91,1133.7050665148167,0.0,0.0,0.0,113.37050665148168
92,1842.0322946025165,127.93610312628687,0.0,119.45446082842771,184.20322946025166
93,1571.8141262505974,139.2527107018248,119.45446082842771,127.80974486125817,157.18141262505975
94,1519.2820776604199,17.465096487900087,127.80974486125817,16.07094738321569,151.928207766042
95,548.5665810800897,0.0,16.07094738321569,0.0,54.85665810800897
96,639.0764342313854,0.0,0.0,0.0,63.907643423138545
97,590.8026840034064,0.0,0.0,0.0,59.08026840034064
98,1076.7993111710934,177.94557639451045,0.0,165.14709016124274,107.67993111710935
99,838.9530639882546,224.00231847444272,165.14709016124274,205.15481626232696,83.89530639882547
100,1936.490500923199,28.257342428548284,183.02897008325934,48.43756785022192,193.64905009231992
101,2348.536352914755,0.0,48.43756785022192,0.0,234.85363529147548
102,286.5161135001529,0.0,0.0,0.0,28.651611350015294
103,266.9109218850166,0.0,0.0,0.0,26.69109218850166
104,1422.977473811085,188.18336616959988,0.0,173.74547135496218,142.2977473811085
105,2168.776942874701,273.6897433097509,154.06224834908514,273.03547302553545,216.87769428747012
106,1585.3607558274089,12.421011942125883,162.99449341274584,121.40247547691138,158.5360755827409
107,2364.2485293703126,0.0,121.40247547691138,0.0,236.42485293703126
108,1044.199394906505,0.0,0.0,0.0,104.4199394906505
109,1674.1144080004938,0.0,0.0,0.0,167.41144080004938
110,1507.7421390782429,51.79929587983866,0.0,47.882206863921574,150.7742139078243
111,1274.9087122161613,264.7110516691277,47.882206863921574,244.18370758969826,127.49087122161615
112,1879.9360295914228,23.921946066319762,171.0425178886101,95.3358302608985,187.9936029591423
113,2127.556915074744,0.0,61.84100746937796,33.49482279152054,212.75569150747444
114,1776.255040685612,0.0,33.49482279152054,0.0,177.6255040685612
115,920.6165264423821,0.0,0.0,0.0,92.06165264423822
116,2043.3185749113268,304.27723120852374,0.0,281.1432926388185,204.3318574911327
117,2055.540011004122,416.7715693034162,256.98116809343855,409.0455444216567,205.5540011004122
118,1986.7724864598822,35.84546870861058,195.70348450961416,246.68790414638602,198.67724864598824
119,1475.2443013453585,0.0,78.07705584276104,168.61084830362495,147.52443013453586
120,2226.1337986694093,0.0,78.87915976636727,89.73168853725768,222.61337986694093
121,848.7035088922532,0.17799781245769228,89.73168853725768,0.16373854199911428,84.87035088922534
122,1546.6903322797757,248.53817586976828,0.16373854199911428,231.07247348784094,154.6690332279776
123,1868.8543044038245,431.82178360986063,231.07247348784094,400.3935271025366,186.88543044038246
