Time,P_load,P_production,P_charge,P_discharge,P_grid,P_waste,Battery_SoC,Reward,Cost_grid,Cost_waste,Total_cost
60,1844.823,1651.5052,1651.5052,35.96125,1810.659810256958,0,35.96125,-1558.2513433403403,181.0659810256958,0.0,181.0659810256958
61,2467.962,285.52454,285.52454,1567.0372,979.2765441894533,0,1567.0372,-3802.3854822723897,97.92765441894534,0.0,97.92765441894534
62,911.63257,46.551384,46.551384,188.77266,732.2985420227051,0,188.77266,-2056.480565084482,73.22985420227052,0.0,73.22985420227052
63,1709.7213,1207.1716,1207.1716,34.28841,1677.1473237991333,0,34.28841,-1537.8269481249006,167.71473237991336,0.0,167.71473237991336
64,2192.7034,294.87698,294.87698,1145.0083,1104.9454833984375,0,1145.0083,-3522.009340071749,110.49454833984376,0.0,110.49454833984376
65,926.92126,51.558117,51.558117,219.86955,718.045189666748,0,219.86955,-2320.3855289995086,71.8045189666748,0.0,71.8045189666748
66,1306.2938,1710.5453,1710.5453,37.40813,1270.7560991287232,0,37.40813,-1507.8948570814637,127.07560991287232,0.0,127.07560991287232
67,2034.5956,297.8726,297.8726,1623.0492,492.698846435547,0,1623.0492,-2668.5877655551544,49.269884643554704,0.0,49.269884643554704
68,1257.6299,45.01842,45.01842,197.55533,1069.9523208618164,0,197.55533,-1034.6675141004362,106.99523208618164,0.0,106.99523208618164
69,1947.9987,1665.8363,1665.8363,32.369854,1917.2472959518432,0,32.369854,-2246.8999959368207,191.72472959518433,0.0,191.72472959518433
70,1594.9724,287.99976,287.99976,1580.8408,93.17363281250005,0,1580.8408,-4026.2193493074597,9.317363281250005,0.0,9.317363281250005
71,1027.3241,48.8016,48.8016,190.39763,846.4463493347168,0,190.39763,-195.66460309371797,84.64463493347169,0.0,84.64463493347169
72,1447.0085,1663.3751,1663.3751,36.34059,1412.484983062744,0,36.34059,-1777.5373652517696,141.2484983062744,0.0,141.2484983062744
73,1809.8291,289.68744,289.68744,1578.2937,310.45008544921893,0,1578.2937,-2966.2185593923064,31.045008544921895,0.0,31.045008544921895
74,856.10486,49.23758,49.23758,192.13496,673.5766426086426,0,192.13496,-651.9452387206491,67.35766426086427,0.0,67.35766426086427
75,1467.3474,1650.6754,1650.6754,36.663334,1432.5172449111938,0,36.663334,-1414.5109203347479,143.25172449111938,0.0,143.25172449111938
76,1488.983,291.1782,291.1782,1566.212,1.0815979003907614,0,1566.212,-3008.286327641216,0.10815979003907615,0.0,0.10815979003907615
77,745.9314,50.643967,50.643967,194.18707,561.4536773681641,0,194.18707,-2.2714108772462853,56.14536773681641,0.0,56.14536773681641
78,1764.8187,1676.0889,1676.0889,37.891396,1728.8218997955323,0,37.891396,-1179.0527498400588,172.88218997955323,0.0,172.88218997955323
79,2058.1997,286.83246,286.83246,1590.2902,547.4240539550783,0,1590.2902,-3630.5259617427337,54.74240539550783,0.0,54.74240539550783
80,1122.5878,51.150265,51.150265,188.79137,943.2359703063964,0,188.79137,-1149.5905980471193,94.32359703063965,0.0,94.32359703063965
81,2145.4338,1663.8392,1663.8392,38.656364,2108.710291671753,0,38.656364,-1980.7955386943981,210.87102916717532,0.0,210.87102916717532
82,2115.7075,281.85385,281.85385,1578.6128,616.0253662109376,0,1578.6128,-4428.291517919418,61.60253662109376,0.0,61.60253662109376
83,730.52936,50.58771,50.58771,184.67628,555.0868873596191,0,184.67628,-1293.6535333524887,55.50868873596192,0.0,55.50868873596192
84,1455.5454,1640.5354,1640.5354,38.33852,1419.1238161087035,0,38.33852,-1165.682503968148,141.91238161087037,0.0,141.91238161087037
